歌詞單詞或短語,對應編程功能或含義 (推論),歌詞背景或含意,所屬歌曲,感官/敏感程度 (推論),來源
CPR,急救函數 / 系統恢復 (System Recovery),心肺復甦術。CupcakKe 將其隱喻為用嘴救治男性的私密部位。,CPR,極度敏感 (高暗示),1
Open this coochie up like a fortune cookie,解構 (Destructuring) / 開啟對象 (Open Object),像打開幸運餅乾一樣展開私處。,CPR,極度敏感 (生殖器隱喻),1
Deep throat,深層內核調用 (Deep Kernel Call) / 長路徑處理,指深喉性行為，描述一種深度的物理連結。,Deepthroat,極度敏感 (重口味),2
Everything you make me cum it look just like vanilla pudding,輸出格式化 (Format Output) / 字符串渲染 (String Rendering),將體液形容為香草布丁，使用了食物類的隱喻。,CPR,極度敏感 (體液描述),1
Gulp,input / 數據吞吐 / 異步操作完成,吞嚥聲。在 CupcakKe 的 Remix 中經常被當作標誌性的音效使用。,Vagina (及多首 Remix),高度敏感 (性暗示音效),"3, 4"
Pick it up with chopsticks,精準指針 (Pointer) / 依賴注入 (Dependency Injection),為了不弄壞美甲，用筷子夾起男性部位，展示了怪誕的創意想像。,Deepthroat,高度敏感 (抽象性行為),2
"Tap the head of the dick, duck duck duck goose",循環選取 (Iterative Selection) / 輪詢 (Polling),將兒童遊戲改造成成人版，拍打頭部進行循環選擇。,Duck Duck Goose,高度敏感 (性暗示遊戲),5
Smack my ass like a drum,觸發器 (Trigger) / 事件監聽 (Event Listener),要求像敲鼓一樣拍打臀部，形容一種節奏性的身體互動。,Vagina,高度敏感 (體罰暗示),6
Give it to me now,await / return / 強制請求數據,在性行為中要求對方立即給予，表現出強烈的需求感。,CPR,中度敏感 (情慾氛圍),1
Vending machine,異步請求 (Async Request) / 條件執行 (Condition-based Execution),將私處比作自動販賣機，必須放入錢財（經濟基礎）才能操作。,Duck Duck Goose,中度敏感 (物化暗示),5
